Suggested By,Adam,Steve,Peter,Konner,Yumi,Areeb,Matt,Hungrypain,Ethan,Kage,Alex,Mira,Jaxson,Luke,Season #1 END,Disconnect,Mira,Hungrypain,Matt,Luke,Alex
,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20
Adam,5,2,2,0,2,,2,2,4,3,2,2,5,3,,1,1,-3,4,2,-4
Ethan,2,2,2,-2,2,2,4,2,4,4,,4,2,2,,2,4,2,4,3,0
Steve,2,4,2,2,2,4,,4,3,4,2,3,4,0,,0,2,,,2,-4
Konner,2,-2,0,4,2,,2,,,,,,,,,,,2,,,-4
Jaxson,4,-2,4,0,2,2,2,-2,4,4,2,4,4,2,,-3,2,0,3,2,-4
Peter,2,0,4,0,2,2,2,,,4,0,4,2,1,,-4,2,1,4,1,-4
Kage,,2,2,2,2,2,4,2,2,4,4,2,3,0,,1,4,1,4,4,0
Midnight,,,1,0,2,,,0,,,,2,0,,,,,,,,
Yumi,,1,2,1,4,2,,4,2,2,2,1,1,-2,,1,,1,2,,-2
Areeb,,2,2,2,2,4,,1,-1,4,2,,2,2,,0,5,1,4,3,-4
Hungrypain,,,0,0,2,4,-2,4,-4,0,0,1,0,1,,0,1,4,2,2,-4
Mira,,,,,2,2,,2,2,2,0,4,2,4,,-1,4,-2,,,-2
Alex,,,,,,2,-1,0,,4,4,0,0,2,,0,1,-1,3,3,-2
Matthew,,,0,,,2,4,,2,4,-2,,4,-1,,-4,2,1,4,,-4
Disconnect,,,,,2,-2,0,0,,3,,,,3,,-2,,,,,
Luke,,,,,,,2,-2,2,4,0,2,-2,4,,-3,2,-4,3,4,-4
